Text,Normal,Toxic
เหี้ยเป็นสัตว์ที่มีความสำคัญต่อระบบนิเวศ,1,
ดอกไม้ในสวนบานเต็มเลย สวยมาก,1,
ขยะสังคมแบบมึง ไม่ควรมีที่ยืนในโลกนี้,,1
ไปลงนรกซะไป ไอ้พวกหน้าตัวเมีย,,1
รกโลกจริงๆ เลยพวกมึงเนี่ย,,1
สาระแนจริงๆ เรื่องคนอื่นเนี่ยเก่งนัก,,1
โง่เป็นควายแบบนี้ เกิดมาเสียชาติเกิด,,1
วันนี้รถติดจังเลย น่าจะไปทำงานสายแน่ๆ,1,
หนังเรื่องนี้สนุกมาก แนะนำให้ไปดูเลย,1,
วันนี้ดวงไม่ดีเลย ทำอะไรก็ติดขัดไปหมด,1,
มึงๆ วันนี้ไปกินหมูกระทะกันป่ะ กูหิวมาก,1,
โห เก่งจังวะ ทำได้ไงเนี่ย สอนหน่อยดิ,1,
สันดานแบบนี้ พ่อแม่ไม่สั่งสอนเหรอ,,1
หน้าตาก็ดีนะ แต่ปากหมาไปหน่อยว่ะ,,1
ร้อนชิบเป๋งเลยวันนี้ อยากอาบน้ำแข็ง,1,
พวกมึงมันน่าสมเพชจริงๆ ว่ะ กระจอก,,1
เชี้ยยย มึงทำได้ไงวะ โคตรเก่งเลยเพื่อน,1,
วันนี้กูเหนื่อยชิบหายเลยมึง งานเยอะมาก,1,
พ่อแม่ไม่สั่งสอนหรือไง กิริยาต่ำมาก,,1
ก็นึกว่าจะฉลาดกว่านี้เสียอีก ผิดหวังจริงๆ,,1
คนมีการศึกษาเขาไม่ทำกิริยาแบบนี้กันหรอกนะคะ,,1
พูดออกมาได้ยังไงคะ ไม่ได้ใช้สมองกลั่นกรองเลยเหรอ,,1
สภาพแบบคุณเนี่ยนะ จะมาเสนอหน้าทำเรื่องนี้,,1
แม่งเอ๊ย หนังเรื่องนี้สนุกชิบหายเลยว่ะ ต้องดูนะมึง,1,
ไม่เป็นไรนะมึง สู้ๆ เดี๋ยวทุกอย่างก็ผ่านไปเอง,1,
กูว่าแล้วว่ามึงต้องทำได้ ยินดีด้วยนะเว้ย,1,
วันนี้อากาศดีจังเลยครับ เหมาะกับการไปเดินเล่นในสวน,1,
ขอให้มีความสุขในวันเกิดนะ สุขภาพแข็งแรงตลอดไป,1,
พร่องตายเหรอ ขับรถปาดหน้าคนอื่นแบบนี้,,1
ไอ้ควัย มรึงพิมพ์ภาษาพ่องมรึงเหรอ,,1
ไปลงนรกซะไป ไอ้พวกหน้าตัวเมีย,,1
วันก่อนไปสวนลุม เจอเหี้ยตัวใหญ่มาก นอนอาบแดดอยู่,1,
ดอกไม้จันทน์ในพิธีศพ เป็นส่วนหนึ่งของวัฒนธรรมไทย,1,
อี dorg thong อย่ามาตอแหลแถวนี้,,1
สาระแนจังเลยเรื่องคนอื่นเนี่ย ไปต_ยซะไป,,1
ไอ้เชี่_ มึงเอางานกูไปทำพังหมดเลย,,1
อย่าเอาตัวเองมาเปรียบเทียบกับคนอื่นเลยค่ะ มันคนละชั้นกัน,,1
คุณมันก็แค่พวกขี้แพ้ที่เก่งแต่หน้าคีย์บอร์ดเท่านั้นแหละ,,1
พ่อแม่คงภูมิใจมากเลยนะคะที่มีลูกนิสัยต่ำแบบนี้,,1
รกโลกจริงๆ เลยคนแบบคุณเนี่ย เมื่อไหร่จะหายไปซะที,,1
เป็นได้แค่เศษขยะสังคม อย่ามาสอนคนอื่นเลย,,1
หน้าอย่างมึง ให้ฟรียังคิดหนักเลย,,1
ความคิดเห็นของคุณมันไม่มีค่าพอให้ฉันต้องใส่ใจหรอก,,1
คำแนะนำของคุณมีประโยชน์มากครับ... สำหรับคนที่ไม่มีสมอง,,1
อธิบายไปก็เท่านั้นแหละ คนระดับคุณคงไม่เข้าใจหรอก,,1
ขอบคุณสำหรับความเห็นนะคะ แต่วันหลังไม่ต้องก็ได้ค่ะ,,1
เห็นใจนะคะที่มีปมด้อยจนต้องมาเรียกร้องความสนใจแบบนี้,,1
กูไปนอนก่อนนะมึง พรุ่งนี้เจอกันที่ออฟฟิศ,1,
วันก่อนไปสวนลุม เจอเหี้ยตัวใหญ่มาก นอนอาบแดดอยู่,1,
ฟักทองผัดไข่จานนี้อร่อยมากครับ หวานกำลังดี,1,
สัตว์เลื้อยคลานอย่างเหี้ย ช่วยกำจัดซากสัตว์ในระบบนิเวศ,1,
สัตว์โลกย่อมเป็นไปตามกรรม ปล่อยวางเถอะครับ,1,
รบกวนช่วยส่งไฟล์งานให้ทางอีเมลด้วยนะครัช,1,
ทางบริษัทขออภัยในความไม่สะดวกที่เกิดขึ้นครับ,1,
ขอประทานโทษนะคะ ไม่ทราบว่าห้องประชุมไปทางไหน,1,
ดอกไม้จันทน์ในพิธีศพ เป็นส่วนหนึ่งของวัฒนธรรมไทย,1,
แต่งตัวตัวแม่มากมึง จึ้งจิตจึ้งใจสุดๆ,1,
งานกลุ่มรอบนี้แม่งเสร็จไวชิบหาย ขอบใจพวกมึงมาก,1,
โหหห สวยฉ่ำวัวตายควายล้มไปเลยจ้า,1,
วันนี้ดวงกูดีจัดๆ ถูกหวยเฉยเลยมึง,1,
ร้อนจนตับแลบแล้วเนี่ย เมื่อไหร่ฝนจะตกวะ,1,
ไปกินเหล้ากันมึง วันนี้อยากปลดปล่อยว่ะ,1,
น้องแมวตัวนี้หน้ากวนส้นตีนจัง แต่น่ารักนะ,1,
ตกใจหมดเลยสัส นึกว่าโดนแกล้ง,1,
พยายามต่อไปนะจ๊ะ เผื่อสักวันจะมีสมองเหมือนคนอื่นเขา,,1
หน้าตาแบบนี้หาได้ตามตลาดล่างทั่วไปแหละค่ะ,,1
เป็นได้แค่ขยะสังคม อย่ามาเสนอหน้าสอนคนอื่นเลย,,1
ขอบคุณที่โง่ให้ดูนะ ทำให้รู้ว่าคนเราต่ำได้แค่ไหน,,1
เกิดมาเสียชาติเกิดจริงๆ พ่อแม่คงเสียใจที่มีลูกแบบมึง,,1
สภาพแบบนี้เหรอจะมาเป็นหัวหน้าคนอื่น ตลกว่ะ,,1
กลิ่นความจนมันแรงจังเลยเนอะแถวนี้,,1
มีปมด้อยเหรอถึงชอบระรานคนอื่นไปทั่ว น่าสมเพช,,1
ไอ้เชี้ยยย ตั๋วคอนเสิร์ตกดทันได้ไงวะ โคตรดวงดี,1,
วันนี้กูซวยสัสๆ ทำงานมาทั้งวันแต่ไฟล์หาย,1,
โหหห หุ่นแซ่บชิบหายเลยมึง ไปออกกำลังกายที่ไหนมา,1,
แม่งเอ๊ยยย ลืมรดน้ำต้นไม้ ตายหมดแน่กู,1,
ขอบคุณที่แชร์ความคิดเห็นนะคะ ถึงมันจะไร้สาระมากก็เถอะ,,1
พ่อแม่คงไม่ได้สอนเรื่องมารยาททางสังคมมาสินะคะ,,1
เป็นได้แค่ฝุ่นใต้เท้าเขา อย่าสะเออะไปเทียบเลย,,1
มรึงน่ะแหละที่ผิด ไอ้ควัย อย่ามาแถให้เสียเวลา,,1
มีสมองไว้กั้นหูเฉยๆ เหรอคะ ไม่คิดจะใช้ทำงานบ้างเหรอ,,1
หน้าอย่างมึง ให้ฟรียังต้องคิดเลยว่าเอาไปทำอะไรได้,,1
ค_ยเอ๊ย มึงเก่งนักเหรอ เดี๋ยวเจอกูแน่,,1
อีเ_ี้ยเอ๊ย หน้าตัวเมี_ชิบหาย ทำผิดไม่รับผิด,,1
ไอ้เหี้ยเอ๊ย มึงไปตายซะไป อย่าอยู่ให้หนักแผ่นดิน,,1
อีดอกทอง แย่งผัวชาวบ้านจนเป็นสันดาน,,1
ไอ้หน้าหี มึงพูดเหี้ยอะไรออกมา ไม่ใช้สมองคิด,,1
ส้นตีนเหอะ ทำงานภาษาอะไร ผิดตลอด,,1
อีเหี้ยนี่ สาระแนเรื่องชาวบ้านเก่งจริงๆ,,1
พ่อมึงตายเหรอ ขับรถหาพ่อมึงเหรอไอ้สัด,,1
มึงมันขยะเปียกที่โลกไม่ต้องการ ไอ้ระยำ,,1
ไอ้ควายตัวแม่ หน้าอย่างมึงไม่มีใครเอาหรอก,,1
สันดานหมาๆ แบบมึง ตายไปก็ไม่มีใครเผาผี,,1
อีสัดนรก อย่าให้กูเจอนะ มึงโดนแน่,,1
หน้าหีชิบหาย ทำตัวกร่างไปทั่ว,,1
กะหรี่อย่างมึง มีปัญญาทำได้แค่นี้แหละ,,1
ไอ้หน้าตัวเมีย ทำผิดแล้วไม่กล้ารับ,,1
ควัยเอ๊ย พิมพ์เหี้ยอะไรมา อ่านไม่รู้เรื่อง,,1
มรึงน่ะแหละที่โง่ อย่ามาแถ ไอ้ควา,,1
อีดกทอง คิดว่ารวยแล้วจะพูดอะไรก็ได้เหรอ,,1
ไปลงนรกซะไป ไอ้พวกขยะสังคม,,1
ขออภัยในความไม่สะดวกที่เกิดขึ้นครับ ทางเราจะรีบดำเนินการแก้ไขให้ทันที,1,
ขอบพระคุณสำหรับข้อเสนอแนะที่มีประโยชน์มากค่ะ ดิฉันจะนำไปปรับปรุงงานนะคะ,1,
เรียนท่านสมาชิกทุกท่าน รบกวนตรวจสอบอีเมลเพื่อยืนยันการลงทะเบียนด้วยครับ,1,
ยินดีที่ได้รู้จักและร่วมงานกับคุณนะครับ หวังว่าโครงการนี้จะสำเร็จลุล่วงไปด้วยดี,1,
รบกวนสอบถามข้อมูลเพิ่มเติมเกี่ยวกับรายละเอียดของหลักสูตรการเรียนค่ะ,1,
ขอแสดงความเสียใจกับเหตุการณ์ที่เกิดขึ้นด้วยนะคะ ขอให้ผ่านพ้นไปได้ด้วยดี,1,
เนื่องในโอกาสวันขึ้นปีใหม่ ขอให้ท่านและครอบครัวมีความสุขมาก ๆ ครับ,1,
ขอบคุณที่ไว้วางใจใช้บริการของบริษัทเราเสมอมาค่ะ,1,
รบกวนช่วยส่งเอกสารประกอบการประชุมให้กระผมภายในเย็นนี้ด้วยนะครับ,1,
ประชาสัมพันธ์กิจกรรมจิตอาสาเพื่อชุมชนในวันเสาร์ที่จะถึงนี้ครับ,1,
ไอ้ควยเอ๊ย,,1
มึงมันเฮงซวย,,1
สัด แย่มาก,,1
อีดอกทอง,,1
หน้าหีจริงๆ,,1
เย็ดแม่มึงสิ,,1
ปัญญาอ่อนป่ะเนี่ย,,1
สวยจังเลยครับ,1,
วันนี้กินอะไรดี,1,
อากาศร้อนมากวันนี้,1,
ขอโทษที่ให้รอนะ,1,
ชอบเพลงนี้จัง,1,
ยินดีด้วยนะครับ,1,
ควย,,1
ไอ้ควย,,1
เย็ดแม่,,1
หน้าหี,,1
ควยเอ๊ย,,1
ไอ้เหี้ยสัด,,1
อีดอกทองตอแหล,,1
หน้าหีจริงๆ มึง,,1
เย็ดแม่มึงสิ,,1
ส้นตีนเหอะพูดงี้,,1
ไอ้ควายเอ๊ยโง่ฉิบ,,1
ไปตายซะไอ้สัตว์นรก,,1
ปัญญาอ่อนป่ะเนี่ย,,1
มึงมันขยะเปียก,,1
ไอ้หน้าตัวเมีย,,1
ต่ำตมจริงๆ นิสัย,,1
สันดานเสียเกินเยียวยา,,1
ปากหมาแบบนี้ระวังนะ,,1
อีร่านเอ๊ย,,1
หน้าด้านหน้าทนจริงๆ,,1
สถุนว่ะมึง,,1
ชาติชั่วจริงๆ นะ,,1
ระยำฉิบหาย,,1
ไอ้กร๊วกเอ๊ย,,1
หัวควยไรมึง,,1
พ่อมึงตายดิ,,1
แม่มึงดิสัด,,1
อีสลัดผัก (ประชด),,1
หน้าไหว้หลังหลอก,,1
สำส่อนจริงๆ,,1
อีแรดเงียบ,,1
เปรตขอส่วนบุญ,,1
ไอ้สมองหมา,,1
สัตว์เดรัจฉาน,,1
ดอกไม้สวยจังเลย,1,
แกงส้มใส่สายบัว,1,
หอยแครงลวกอร่อยมาก,1,
กล้วยปิ้งร้อนๆ จ้า,1,
เขี้ยวงูดูน่ากลัวนะ,1,
ขอบคุณมากครับที่ช่วย,1,
ยินดีด้วยกับความสำเร็จ,1,
วันนี้อากาศเย็นสบาย,1,
ดูแลตัวเองด้วยนะ,1,
ไปเที่ยวทะเลกันไหม,1,
อาหารมื้อนี้ดีจัง,1,
ท้องฟ้าแจ่มใสมาก,1,
แมวน่ารักจังเลย,1,
นอนหลับสบายไหม,1,
พรุ่งนี้เจอกันนะ,1,
ตั้งใจเรียนนะครับ,1,
มีความสุขมากๆ นะ,1,
อากาศร้อนจังวันนี้,1,
น้ำดื่มสะอาดดี,1,
บ้านสะอาดจังเลย,1,
สวนสาธารณะร่มรื่น,1,
อ่านหนังสือเล่มไหนอยู่,1,
กาแฟหอมจังเลย,1,
วิวตรงนี้สวยมาก,1,
ทะเลน้ำใสจริงๆ,1,
ชอบทำอาหารไหมครับ,1,
แต่งตัวดูดีจังเลย,1,
รอยยิ้มคุณสดใสมาก,1,
ขอบคุณที่รับฟังนะ,1,
พยายามได้ดีมากเลย,1,
ควยไรมึงนักหนา,,1
ไอ้หน้าตัวเมียเอ๊ย,,1
ตอแหลหน้าด้านๆ,,1
สันดานเสียจริงๆ นะ,,1
มึงมันขยะสังคม,,1
อีดอกทองร่าน,,1
ส้นตีนเหอะอย่ามาพูด,,1
เย็ดแม่มึงดิสัด,,1
ไอ้ควายสมองหมา,,1
ไปตายซะไอ้ชั่ว,,1
ต่ำตมเกินเยียวยา,,1
หน้าหีจริงๆ มึงเนี่ย,,1
ขยะเปียกไร้ค่า,,1
ปากหมาแบบนี้ระวังตีน,,1
ชาติชั่วจริงๆ คนอย่างมึง,,1
อีปลาทองสมองน้อย,,1
สถุนถ่อยจริงๆ,,1
หน้าด้านหน้าทน,,1
เปรตขอส่วนบุญเอ๊ย,,1
ไอ้สัตว์นรกส่งมาเกิด,,1
มึงมันตัวถ่วง,,1
อีสำส่อนร่านจริงๆ,,1
หน้าไหว้หลังหลอกนะมึง,,1
ไอ้กร๊วกเอ๊ย,,1
สันดานไพร่,,1
อีแรดเงียบ,,1
หัวควยจริงๆ,,1
หน้าตัวเมียฉิบหาย,,1
มึงมันโง่ดักดาน,,1
ระยำตำบอน,,1
ขอบคุณที่ช่วยเหลือนะครับ,1,
รวยๆ เฮงๆ นะปีนี้,1,
ดอกไม้ในแจกันสวยจัง,1,
กล้วยปิ้งน้ำกะทิหอมมาก,1,
ช่วยหยิบของให้หน่อยครับ,1,
ทะเลที่นี่สวยงามจริงๆ,1,
วันนี้ทำงานเหนื่อยไหม,1,
ยินดีที่ได้รู้จักครับ,1,
ขอให้มีความสุขมากๆ นะ,1,
อาหารอร่อยถูกใจมาก,1,
เดินทางปลอดภัยนะครับ,1,
เป็นกำลังใจให้เสมอ,1,
วันนี้ท้องฟ้าใสมาก,1,
พยายามได้ดีมากเลย,1,
ขอบคุณที่รับฟังกันนะ,1,
สุขสันต์วันเกิดครับ,1,
แต่งตัวดูดีจังวันนี้,1,
อ่านหนังสือเล่มนี้จบแล้ว,1,
กาแฟรสชาติดีจัง,1,
ไปออกกำลังกายกันไหม,1,
แมวน่ารักจังเลยตัวนี้,1,
ขอโทษที่ทำให้รอนะครับ,1,
พรุ่งนี้เจอกันตอนเช้า,1,
ดูแลสุขภาพด้วยนะ,1,
ดีใจที่ได้คุยด้วย,1,
ตั้งใจทำงานนะสู้ๆ,1,
เพลงนี้ความหมายดีมาก,1,
วันนี้วันดีจริงๆ,1,
รอยยิ้มของคุณสดใสมาก,1,
ขอบคุณสำหรับทุกอย่าง,1,
มึงจะไปไหนก็ไปเลยไอ้ควย,,1
ทำตัวสันดานเสียแบบนี้ใครจะคบ,,1
อีดอกทอง ตอแหลได้โล่จริงๆ มึง,,1
หน้าหีแบบมึงพูดอะไรมาก็ดูแย่,,1
ไอ้สัตว์นรกเอ๊ย ขับรถภาษาอะไรวะ,,1
อย่ามาปัญญาอ่อนแถวนี้ ไปไกลๆ,,1
หน้าด้านฉิบหาย ทำผิดแล้วยังไม่ยอมรับ,,1
เย็ดแม่มึงสิ กวนตีนนักนะมึงอ่ะ,,1
ขยะสังคมอย่างมึงไม่ควรเกิดมาเลย,,1
ปากหมาวอนหาตีนแบบนี้ระวังจะโดน,,1
ต่ำตมเกินคนจริงๆ นิสัยแบบนี้,,1
ไอ้เหี้ยเอ๊ย ทำงานห่วยแตกสิ้นดี,,1
มึงมันโง่ดักดาน สอนอะไรไม่เคยจำ,,1
อีแรดร่าน สวยแต่รูปจูบไม่หอม,,1
ส้นตีนเหอะ อย่ามาอ้างนั่นอ้างนี่,,1
ไอ้หน้าตัวเมีย ทำผู้หญิงได้ไงวะ,,1
สถุนถ่อยเกินจะทนแล้วคนอย่างมึง,,1
ระยำจริงๆ แย่งของคนอื่นหน้าตาเฉย,,1
สัตว์เดรัจฉานยังดีกว่ามึงเลยไอ้ชั่ว,,1
อีหน้าไม่อาย แย่งแฟนเพื่อนเฉยเลย,,1
ขอบคุณมากนะครับที่ช่วยถือของให้,1,
วันนี้ท้องฟ้าสวยมากเลย อยากไปเดินเล่น,1,
ขอโทษที่ทำให้รอนานนะครับ พอดีรถติด,1,
กล้วยทอดร้านนี้อร่อยและสะอาดมาก,1,
ยินดีด้วยกับตำแหน่งใหม่นะ เก่งมากๆ,1,
วันนี้ทำงานเหนื่อยไหม พักผ่อนเยอะๆ นะ,1,
ช่วยหยิบปากกาบนโต๊ะให้หน่อยได้ไหมครับ,1,
อาหารมื้อนี้รสชาติกลมกล่อมดีจังเลย,1,
เดินทางโดยสวัสดิภาพนะ ถึงแล้วบอกด้วย,1,
เป็นกำลังใจให้เสมอนะ สู้ๆ ต่อไป,1,
สวนสาธารณะที่นี่ร่มรื่นและน่านั่งมาก,1,
แมวน่ารักจังเลย ตัวนี้พันธุ์อะไรครับ,1,
ขอบคุณสำหรับมิตรภาพที่ดีตลอดมานะ,1,
พรุ่งนี้เช้าเจอกันที่ร้านกาแฟเดิมนะ,1,
ดูแลสุขภาพด้วยนะ ช่วงนี้อากาศเปลี่ยน,1,
ตั้งใจเรียนนะ พ่อกับแม่เป็นกำลังใจให้,1,
เพลงนี้ฟังแล้วรู้สึกผ่อนคลายสบายใจจัง,1,
วันนี้เป็นวันที่ดีจริงๆ ที่ได้เจอทุกคน,1,
รอยยิ้มของคุณทำให้บรรยากาศสดใสขึ้น,1,
ชื่นชมในความตั้งใจของคุณจริงๆ ครับ,1,
มึงมันน่ารังเกียจที่สุดเท่าที่เคยเจอมา,,1
หน้าด้านขนาดนี้ ยังมีหน้ามาพูดอีกเหรอ,,1
อีดอกทอง ทำตัวต่ำตมจนกูรับไม่ได้,,1
ไอ้ควยเอ๊ย ขวางทางทำไมวะส้นตีนจริงๆ,,1
ปัญญาอ่อนป่ะเนี่ย คุยด้วยไม่รู้เรื่องเลย,,1
สันดานเสียแบบนี้ พ่อแม่ไม่สั่งสอนเหรอ,,1
ขยะเปียกสังคมอย่างมึง ไม่ควรมีที่ยืน,,1
อีร่านเอ๊ย แย่งผัวชาวบ้านหน้าตาเฉย,,1
ไอ้หน้าตัวเมีย รังแกได้แม้กระทั่งผู้หญิง,,1
ปากหมาแบบนี้ ระวังจะได้กินตีนแทนข้าว,,1
ต่ำตมเกินคนจริงๆ นิสัยระยำแบบนี้,,1
ไอ้เหี้ยหน้าหมี อย่ามาทำตัวกร่างแถวนี้,,1
สลัดผักเอ๊ย ทำงานห่วยแตกสิ้นดี,,1
มึงมันโง่ดักดาน บอกกี่รอบก็ไม่จำ,,1
สถุนถ่อยจริงๆ คนอย่างมึงเนี่ย,,1
ไปลงนรกซะไอ้ชั่ว อย่ามาให้เห็นหน้าอีก,,1
อีแรดเงียบ ทำเป็นใสซื่อแต่ข้างในเน่า,,1
หัวควยจริงๆ ว่ะมึง ทำเสียเรื่องหมด,,1
หน้าไม่อายจริงๆ ทำผิดแล้วยังมาเถียง,,1
สัตว์เดรัจฉานยังรู้จักบุญคุณมากกว่ามึง,,1
ขอบคุณมากครับที่เข้าใจและให้โอกาส,1,
วันนี้ท้องฟ้าสีครามสวยจังเลยนะ,1,
ขอโทษที่รบกวนนะครับ พอดีมีเรื่องด่วน,1,
กล้วยหอมทองบ้านนี้ลูกใหญ่และหวานมาก,1,
ยินดีที่ได้เป็นส่วนหนึ่งของทีมงานนี้ครับ,1,
ทำงานเหนื่อยมาทั้งวัน พักผ่อนบ้างนะ,1,
ช่วยกรุณาหยิบสมุดเล่มนั้นให้หน่อยครับ,1,
อาหารมื้อนี้จัดจานสวยและรสชาติดีมาก,1,
เดินทางปลอดภัยนะ ถึงแล้วส่งข่าวด้วย,1,
เป็นกำลังใจให้ในทุกๆ เรื่องที่ตั้งใจทำ,1,
สวนดอกไม้ที่นี่ร่มรื่นน่านั่งพักผ่อนจัง,1,
แมวตัวนี้นิสัยขี้อ้อนน่ารักมากเลยครับ,1,
ขอบคุณที่อยู่เคียงข้างกันเสมอมานะ,1,
พรุ่งนี้มีนัดกันกี่โมงนะ อย่าลืมล่ะ,1,
ดูแลสุขภาพด้วยนะ ช่วงนี้ฝนตกบ่อย,1,
ตั้งใจทำงานนะ ความสำเร็จรอคุณอยู่,1,
เพลงนี้ฟังกี่ทีก็ไม่เบื่อ สบายหูจัง,1,
วันนี้เป็นวันที่ดีที่ได้พบปะเพื่อนเก่า,1,
รอยยิ้มของคุณทำให้วันแย่ๆ กลายเป็นดี,1,
ชื่นชมในความขยันและอดทนของคุณครับ,1,
เล่นกากขนาดนี้ลบเกมทิ้งไปเหอะ,,1
แจกขนาดนี้ ยอมแพ้ไปเลยดีกว่า ไอ้คว_,,1
แบกจนเหนื่อย ทีมขยะชัดๆ,,1
รีพอร์ตมันที ตัวนี้เล่นอย่างโง่,,1
พ่อแม่ไม่รักเหรอ ถึงมาโยนเกมคนอื่นแบบนี้,,1
ไก่จัดๆ หลับตาเล่นยังเก่งกว่ามึงเลย,,1
มีมือไว้แค่กดเดินเหรอวะ ไม่ช่วยสู้เลย,,1
เลิกเล่นไปซะ ขยะสังคมเกมจริงๆ,,1
นายเล่นดีมากครับ ไว้มาจอยกันใหม่นะ,1,
โทษทีครับตะกี้เน็ตกระตุก เดี๋ยวกลับไปช่วย,1,
ดันเลนบนเลยครับ เดี๋ยวผมไปล่อศัตรูให้,1,
เกือบชนะแล้ว เสียดายจัง ตาหน้าเอาใหม่,1,
มีใครมีกระสุนแบ่งให้บ้างครับ หมดแล้ว,1,
ฝีมือสุดยอดเลย แอดเพื่อนไปนะรับด้วย,1,
ระวังพุ่มไม้นะครับ มีศัตรูซุ่มอยู่,1,
ขอบคุณที่ช่วยแบกนะพี่ สุดยอดมาก,1,